cond,animal,p_base,p_sub,delta_lp,seq
Q3_filler_777,koala,0.006527,0.017712,0.9983,"23, 777, 23, 777, 23, 777, 23, 777, 23, 777"
Q3_filler_777,penguin,0.001984,0.027976,2.6463,"23, 777, 23, 777, 23, 777, 23, 777, 23, 777"
Q3_filler_777,giraffe,0.074721,0.155723,0.7343,"23, 777, 23, 777, 23, 777, 23, 777, 23, 777"
Q3_filler_RAND,cat,0.011462,0.009502,-0.1875,"23, 157, 23, 193, 23, 186, 23, 469, 23, 273"
Q3_filler_RAND,elephant,0.011462,0.192350,2.8203,"23, 157, 23, 193, 23, 186, 23, 469, 23, 273"
Q3_filler_RAND,owl,0.001871,0.007400,1.3750,"23, 157, 23, 193, 23, 186, 23, 469, 23, 273"
Q3_filler_RAND,panda,0.262912,0.008386,-3.4453,"23, 157, 23, 193, 23, 186, 23, 469, 23, 273"
Q3_filler_RAND,dolphin,0.337585,0.079560,-1.4453,"23, 157, 23, 193, 23, 186, 23, 469, 23, 273"
Q3_filler_RAND,koala,0.006527,0.021383,1.1867,"23, 157, 23, 193, 23, 186, 23, 469, 23, 273"
Q3_filler_RAND,penguin,0.001984,0.036501,2.9123,"23, 157, 23, 193, 23, 186, 23, 469, 23, 273"
Q3_filler_RAND,giraffe,0.074721,0.131144,0.5625,"23, 157, 23, 193, 23, 186, 23, 469, 23, 273"
Q4_form_23,cat,0.011462,0.254823,3.1016,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q4_form_23,elephant,0.011462,0.112197,2.2812,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q4_form_23,owl,0.001871,0.030197,2.7812,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q4_form_23,panda,0.262912,0.001503,-5.1641,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q4_form_23,dolphin,0.337585,0.038774,-2.1641,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q4_form_23,koala,0.006527,0.008092,0.2149,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
Q4_form_23,penguin,0.001984,0.037416,2.9371,"23, 23, 23, 23, 23, 23, 23, 23, 23, 23"
