m,arrangement,kind,animal,p_sub,seq
3,rand20,random,cat,0.001369,"500, 23, 500, 500, 23, 500, 500, 500, 23, 500"
3,rand20,random,elephant,0.129138,"500, 23, 500, 500, 23, 500, 500, 500, 23, 500"
3,rand21,random,cat,0.001457,"500, 23, 500, 500, 500, 23, 500, 500, 23, 500"
3,rand21,random,elephant,0.107059,"500, 23, 500, 500, 500, 23, 500, 500, 23, 500"
3,rand22,random,cat,0.001033,"500, 500, 23, 23, 500, 500, 500, 500, 23, 500"
3,rand22,random,elephant,0.182114,"500, 500, 23, 23, 500, 500, 500, 500, 23, 500"
3,rand23,random,cat,0.000857,"500, 23, 500, 500, 23, 500, 23, 500, 500, 500"
3,rand23,random,elephant,0.099013,"500, 23, 500, 500, 23, 500, 23, 500, 500, 500"
3,rand24,random,cat,0.001033,"500, 500, 500, 23, 500, 500, 500, 500, 23, 23"
3,rand24,random,elephant,0.184981,"500, 500, 500, 23, 500, 500, 500, 500, 23, 23"
3,rand25,random,cat,0.000971,"500, 23, 500, 500, 500, 500, 23, 500, 23, 500"
3,rand25,random,elephant,0.125165,"500, 23, 500, 500, 500, 500, 23, 500, 23, 500"
3,rand26,random,cat,0.001246,"500, 500, 500, 500, 23, 23, 500, 23, 500, 500"
3,rand26,random,elephant,0.164526,"500, 500, 500, 500, 23, 23, 500, 23, 500, 500"
3,rand27,random,cat,0.001208,"500, 500, 23, 500, 500, 500, 500, 500, 23, 23"
3,rand27,random,elephant,0.168427,"500, 500, 23, 500, 500, 500, 500, 500, 23, 23"
3,rand28,random,cat,0.001503,"500, 23, 500, 500, 500, 500, 23, 500, 500, 23"
3,rand28,random,elephant,0.129138,"500, 23, 500, 500, 500, 500, 23, 500, 500, 23"
3,rand29,random,cat,0.001600,"500, 500, 500, 500, 23, 23, 500, 500, 23, 500"
3,rand29,random,elephant,0.182114,"500, 500, 500, 500, 23, 23, 500, 500, 23, 500"
4,front,front,cat,0.016163,"23, 23, 23, 23, 500, 500, 500, 500, 500, 500"
4,front,front,elephant,0.219671,"23, 23, 23, 23, 500, 500, 500, 500, 500, 500"
4,rand0,random,cat,0.001758,"500, 500, 500, 23, 500, 500, 23, 23, 500, 23"
4,rand0,random,elephant,0.131171,"500, 500, 500, 23, 500, 500, 23, 23, 500, 23"
4,rand1,random,cat,0.000971,"500, 500, 500, 23, 500, 23, 500, 23, 23, 500"
4,rand1,random,elephant,0.119433,"500, 500, 500, 23, 500, 23, 500, 23, 23, 500"
4,rand2,random,cat,0.011462,"23, 23, 500, 500, 23, 500, 500, 23, 500, 500"
4,rand2,random,elephant,0.147480,"23, 23, 500, 500, 23, 500, 500, 23, 500, 500"
4,rand3,random,cat,0.002257,"23, 500, 500, 23, 500, 500, 500, 23, 23, 500"
4,rand3,random,elephant,0.069122,"23, 500, 500, 23, 500, 500, 500, 23, 23, 500"
4,rand4,random,cat,0.005248,"23, 500, 500, 500, 500, 23, 23, 23, 500, 500"
4,rand4,random,elephant,0.121314,"23, 500, 500, 500, 500, 23, 23, 23, 500, 500"
4,rand5,random,cat,0.001651,"500, 23, 500, 500, 500, 23, 500, 500, 23, 23"
4,rand5,random,elephant,0.103765,"500, 23, 500, 500, 500, 23, 500, 500, 23, 23"
4,rand6,random,cat,0.004631,"23, 500, 500, 500, 500, 23, 23, 500, 23, 500"
4,rand6,random,elephant,0.086024,"23, 500, 500, 500, 500, 23, 23, 500, 23, 500"
4,rand7,random,cat,0.018316,"23, 23, 500, 500, 23, 500, 23, 500, 500, 500"
4,rand7,random,elephant,0.135335,"23, 23, 500, 500, 23, 500, 23, 500, 500, 500"
4,rand8,random,cat,0.000780,"500, 500, 23, 23, 23, 500, 23, 500, 500, 500"
4,rand8,random,elephant,0.171080,"500, 500, 23, 23, 23, 500, 23, 500, 500, 500"
4,rand9,random,cat,0.007173,"23, 500, 500, 23, 23, 500, 500, 500, 500, 23"
4,rand9,random,elephant,0.117581,"23, 500, 500, 23, 23, 500, 500, 500, 500, 23"
4,rand10,random,cat,0.001171,"500, 500, 500, 23, 500, 23, 23, 23, 500, 500"
4,rand10,random,elephant,0.196912,"500, 500, 500, 23, 500, 23, 23, 23, 500, 500"
4,rand11,random,cat,0.001327,"500, 500, 23, 500, 500, 23, 23, 500, 23, 500"
4,rand11,random,elephant,0.160715,"500, 500, 23, 500, 500, 23, 23, 500, 23, 500"
4,rand12,random,cat,0.002055,"500, 500, 23, 500, 500, 23, 23, 23, 500, 500"
4,rand12,random,elephant,0.173774,"500, 500, 23, 500, 500, 23, 23, 23, 500, 500"
4,rand13,random,cat,0.001758,"500, 23, 23, 500, 500, 23, 500, 500, 23, 500"
4,rand13,random,elephant,0.179290,"500, 23, 23, 500, 500, 23, 500, 500, 23, 500"
4,rand14,random,cat,0.000912,"500, 500, 23, 23, 500, 500, 500, 23, 23, 500"
4,rand14,random,elephant,0.195379,"500, 500, 23, 23, 500, 500, 500, 23, 23, 500"
4,rand15,random,cat,0.001651,"500, 23, 500, 23, 500, 500, 500, 23, 500, 23"
4,rand15,random,elephant,0.108745,"500, 23, 500, 23, 500, 500, 500, 23, 500, 23"
4,rand16,random,cat,0.003607,"23, 500, 500, 500, 500, 500, 23, 500, 23, 23"
4,rand16,random,elephant,0.077112,"23, 500, 500, 500, 500, 500, 23, 500, 23, 23"
4,rand17,random,cat,0.001327,"500, 23, 23, 23, 500, 500, 500, 23, 500, 500"
4,rand17,random,elephant,0.271257,"500, 23, 23, 23, 500, 500, 500, 23, 500, 500"
4,rand18,random,cat,0.003721,"23, 500, 23, 23, 23, 500, 500, 500, 500, 500"
4,rand18,random,elephant,0.140726,"23, 500, 23, 23, 23, 500, 500, 500, 500, 500"
4,rand19,random,cat,0.001551,"500, 23, 500, 500, 23, 500, 23, 500, 500, 23"
4,rand19,random,elephant,0.100573,"500, 23, 500, 500, 23, 500, 23, 500, 500, 23"
4,rand20,random,cat,0.001930,"500, 500, 500, 500, 23, 500, 23, 500, 23, 23"
4,rand20,random,elephant,0.093014,"500, 500, 500, 500, 23, 500, 23, 500, 23, 23"
4,rand21,random,cat,0.001992,"500, 500, 500, 500, 23, 23, 500, 23, 500, 23"
4,rand21,random,elephant,0.149803,"500, 500, 500, 500, 23, 23, 500, 23, 500, 23"
4,rand22,random,cat,0.000941,"500, 500, 23, 23, 500, 23, 500, 23, 500, 500"
4,rand22,random,elephant,0.169748,"500, 500, 23, 23, 500, 23, 500, 23, 500, 500"
4,rand23,random,cat,0.018897,"23, 23, 500, 500, 500, 500, 500, 500, 23, 23"
4,rand23,random,elephant,0.201581,"23, 23, 500, 500, 500, 500, 500, 500, 23, 23"
4,rand24,random,cat,0.005946,"23, 500, 500, 500, 23, 23, 500, 500, 500, 23"
4,rand24,random,elephant,0.125165,"23, 500, 500, 500, 23, 23, 500, 500, 500, 23"
4,rand25,random,cat,0.015184,"23, 23, 23, 500, 500, 500, 23, 500, 500, 500"
4,rand25,random,elephant,0.223130,"23, 23, 23, 500, 500, 500, 23, 500, 500, 500"
4,rand26,random,cat,0.001871,"500, 500, 500, 23, 23, 500, 23, 500, 500, 23"
4,rand26,random,elephant,0.206362,"500, 500, 500, 23, 23, 500, 23, 500, 500, 23"
4,rand27,random,cat,0.000756,"500, 500, 23, 23, 500, 500, 500, 23, 500, 23"
4,rand27,random,elephant,0.133237,"500, 500, 23, 23, 500, 500, 500, 23, 500, 23"
4,rand28,random,cat,0.001813,"500, 23, 500, 500, 500, 500, 23, 500, 23, 23"
4,rand28,random,elephant,0.093014,"500, 23, 500, 500, 500, 500, 23, 500, 23, 23"
4,rand29,random,cat,0.000912,"500, 500, 23, 500, 500, 23, 500, 23, 500, 23"
4,rand29,random,elephant,0.088755,"500, 500, 23, 500, 500, 23, 500, 23, 500, 23"
5,front,front,cat,0.020116,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
5,front,front,elephant,0.228422,"23, 23, 23, 23, 23, 500, 500, 500, 500, 500"
5,rand0,random,cat,0.026236,"23, 23, 23, 500, 23, 500, 500, 500, 23, 500"
5,rand0,random,elephant,0.207980,"23, 23, 23, 500, 23, 500, 500, 500, 23, 500"
5,rand1,random,cat,0.010436,"500, 23, 500, 23, 500, 23, 23, 500, 500, 23"
5,rand1,random,elephant,0.119433,"500, 23, 500, 23, 500, 23, 23, 500, 500, 23"
5,rand2,random,cat,0.002722,"500, 500, 500, 23, 23, 500, 500, 23, 23, 23"
5,rand2,random,elephant,0.230213,"500, 500, 500, 23, 23, 500, 500, 23, 23, 23"
5,rand3,random,cat,0.002120,"500, 500, 500, 500, 23, 23, 23, 23, 23, 500"
5,rand3,random,elephant,0.260866,"500, 500, 500, 500, 23, 23, 23, 23, 23, 500"
5,rand4,random,cat,0.005763,"23, 500, 500, 23, 23, 500, 500, 23, 23, 500"
5,rand4,random,elephant,0.102156,"23, 500, 500, 23, 23, 500, 500, 23, 23, 500"
5,rand5,random,cat,0.002557,"23, 500, 500, 23, 500, 23, 500, 23, 23, 500"
5,rand5,random,elephant,0.061961,"23, 500, 500, 23, 500, 23, 500, 23, 23, 500"
5,rand6,random,cat,0.005086,"23, 500, 500, 23, 500, 500, 23, 23, 23, 500"
5,rand6,random,elephant,0.079560,"23, 500, 500, 23, 500, 500, 23, 23, 23, 500"
5,rand7,random,cat,0.042585,"23, 23, 500, 500, 500, 500, 500, 23, 23, 23"
5,rand7,random,elephant,0.177895,"23, 23, 500, 500, 500, 500, 500, 23, 23, 23"
5,rand8,random,cat,0.001758,"500, 500, 23, 23, 23, 500, 23, 23, 500, 500"
5,rand8,random,elephant,0.177895,"500, 500, 23, 23, 23, 500, 23, 23, 500, 500"
5,rand9,random,cat,0.043937,"23, 23, 500, 500, 500, 500, 23, 500, 23, 23"
5,rand9,random,elephant,0.135335,"23, 23, 500, 500, 500, 500, 23, 500, 23, 23"
5,rand10,random,cat,0.001871,"500, 23, 23, 23, 500, 500, 500, 23, 500, 23"
5,rand10,random,elephant,0.217961,"500, 23, 23, 23, 500, 500, 500, 23, 500, 23"
5,rand11,random,cat,0.027069,"23, 500, 500, 500, 23, 23, 23, 500, 500, 23"
5,rand11,random,elephant,0.136397,"23, 500, 500, 500, 23, 23, 23, 500, 500, 23"
5,rand12,random,cat,0.002120,"500, 500, 23, 23, 23, 23, 500, 500, 23, 500"
5,rand12,random,elephant,0.167117,"500, 500, 23, 23, 23, 23, 500, 500, 23, 500"
5,rand13,random,cat,0.003388,"500, 500, 500, 500, 23, 23, 500, 23, 23, 23"
5,rand13,random,elephant,0.196912,"500, 500, 500, 500, 23, 23, 500, 23, 23, 23"
5,rand14,random,cat,0.014264,"23, 500, 500, 23, 23, 500, 23, 500, 500, 23"
5,rand14,random,elephant,0.086024,"23, 500, 500, 23, 23, 500, 23, 500, 500, 23"
5,rand15,random,cat,0.002120,"500, 23, 23, 23, 500, 23, 500, 500, 500, 23"
5,rand15,random,elephant,0.158223,"500, 23, 23, 23, 500, 23, 500, 500, 500, 23"
5,rand16,random,cat,0.003496,"500, 500, 500, 23, 23, 23, 23, 500, 500, 23"
5,rand16,random,elephant,0.277690,"500, 500, 500, 23, 23, 23, 23, 500, 500, 23"
5,rand17,random,cat,0.011462,"23, 500, 500, 500, 500, 500, 23, 23, 23, 23"
5,rand17,random,elephant,0.125165,"23, 500, 500, 500, 500, 500, 23, 23, 23, 23"
5,rand18,random,cat,0.025035,"23, 23, 500, 500, 23, 23, 23, 500, 500, 500"
5,rand18,random,elephant,0.207980,"23, 23, 500, 500, 23, 23, 23, 500, 500, 500"
5,rand19,random,cat,0.001503,"500, 500, 500, 23, 500, 23, 23, 500, 23, 23"
5,rand19,random,elephant,0.103765,"500, 500, 500, 23, 500, 23, 23, 500, 23, 23"
5,rand20,random,cat,0.008926,"500, 23, 500, 23, 23, 23, 500, 500, 23, 500"
5,rand20,random,elephant,0.168427,"500, 23, 500, 23, 23, 23, 500, 500, 23, 500"
5,rand21,random,cat,0.001002,"500, 23, 23, 500, 23, 23, 500, 500, 23, 500"
5,rand21,random,elephant,0.187894,"500, 23, 23, 500, 23, 23, 500, 500, 23, 500"
5,rand22,random,cat,0.002639,"500, 500, 23, 23, 23, 23, 500, 23, 500, 500"
5,rand22,random,elephant,0.152162,"500, 500, 23, 23, 23, 23, 500, 23, 500, 500"
5,rand23,random,cat,0.005946,"23, 500, 23, 500, 23, 500, 23, 500, 500, 23"
5,rand23,random,elephant,0.087379,"23, 500, 23, 500, 23, 500, 23, 500, 500, 23"
5,rand24,random,cat,0.020754,"23, 23, 500, 500, 500, 23, 23, 500, 500, 23"
5,rand24,random,elephant,0.211255,"23, 23, 500, 500, 500, 23, 23, 500, 500, 23"
5,rand25,random,cat,0.002257,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
5,rand25,random,elephant,0.088755,"23, 500, 23, 500, 23, 500, 23, 500, 23, 500"
5,rand26,random,cat,0.002990,"500, 23, 23, 23, 500, 500, 23, 500, 500, 23"
5,rand26,random,elephant,0.195379,"500, 23, 23, 23, 500, 500, 23, 500, 500, 23"
5,rand27,random,cat,0.001930,"500, 500, 23, 23, 500, 23, 23, 500, 23, 500"
5,rand27,random,elephant,0.211255,"500, 500, 23, 23, 500, 23, 23, 500, 23, 500"
5,rand28,random,cat,0.013400,"23, 23, 500, 23, 500, 23, 23, 500, 500, 500"
5,rand28,random,elephant,0.150977,"23, 23, 500, 23, 500, 23, 23, 500, 500, 500"
5,rand29,random,cat,0.018897,"23, 500, 500, 23, 23, 23, 500, 500, 500, 23"
5,rand29,random,elephant,0.115758,"23, 500, 500, 23, 23, 23, 500, 500, 500, 23"
6,front,front,cat,0.024646,"23, 23, 23, 23, 23, 23, 500, 500, 500, 500"
6,front,front,elephant,0.217961,"23, 23, 23, 23, 23, 23, 500, 500, 500, 500"
6,rand0,random,cat,0.017206,"23, 500, 23, 500, 23, 500, 500, 23, 23, 23"
6,rand0,random,elephant,0.094479,"23, 500, 23, 500, 23, 500, 500, 23, 23, 23"
6,rand1,random,cat,0.004488,"500, 23, 23, 500, 23, 23, 23, 500, 23, 500"
6,rand1,random,elephant,0.177895,"500, 23, 23, 500, 23, 23, 23, 500, 23, 500"
6,rand2,random,cat,0.046771,"23, 23, 23, 500, 23, 500, 23, 23, 500, 500"
6,rand2,random,elephant,0.184981,"23, 23, 23, 500, 23, 500, 23, 23, 500, 500"
6,rand3,random,cat,0.010767,"500, 23, 500, 23, 500, 23, 23, 23, 23, 500"
6,rand3,random,elephant,0.156992,"500, 23, 500, 23, 500, 23, 23, 23, 23, 500"
6,rand4,random,cat,0.006531,"23, 500, 23, 500, 23, 23, 23, 23, 500, 500"
6,rand4,random,elephant,0.090153,"23, 500, 23, 500, 23, 23, 23, 23, 500, 500"
6,rand5,random,cat,0.049787,"23, 23, 500, 500, 500, 23, 23, 500, 23, 23"
6,rand5,random,elephant,0.154558,"23, 23, 500, 500, 500, 23, 23, 500, 23, 23"
6,rand6,random,cat,0.022794,"23, 500, 500, 500, 500, 23, 23, 23, 23, 23"
6,rand6,random,elephant,0.159464,"23, 500, 500, 500, 500, 23, 23, 23, 23, 23"
6,rand7,random,cat,0.048255,"23, 23, 23, 23, 500, 23, 500, 500, 23, 500"
6,rand7,random,elephant,0.230213,"23, 23, 23, 23, 500, 23, 500, 500, 23, 500"
6,rand8,random,cat,0.032145,"23, 23, 500, 23, 500, 23, 500, 23, 500, 23"
6,rand8,random,elephant,0.163246,"23, 23, 500, 23, 500, 23, 500, 23, 500, 23"
6,rand9,random,cat,0.003607,"500, 23, 23, 23, 500, 23, 23, 23, 500, 500"
